edge,year,Acid,GWI,EcotFW,ERnonRE,EutrFW,EutrM,EutrT,Htcarc,Htnoncarc,IR,LU,MRmm,ODP,PMF,POF,WU
chemical_268_CH-chemical_187_CH,2044,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2045,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2046,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2047,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2048,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2049,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_187_CH,2050,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2025,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2026,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2027,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2028,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2029,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2030,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2031,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2032,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2033,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2034,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2035,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2036,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2037,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2038,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2039,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2040,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2041,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2042,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2043,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2044,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2045,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2046,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2047,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2048,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2049,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-chemical_435_CH,2050,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2025,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2026,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2027,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2028,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2029,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2030,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2031,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2032,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2033,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2034,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2035,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2036,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2037,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2038,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2039,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2040,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
chemical_268_CH-waste_115_CH,2041,1.11671662139896e-05,0.00196865070283013,0.0624333139048516,0.062912583479884,9.24056201920273e-07,2.52147648746147e-06,2.67721327708423e-05,7.12966734564477e-12,5.95599715392631e-11,0.00278065902795298,0.0308625612889249,5.35799002333027e-08,1.70444651431134e-10,1.44368818244276e-10,9.03271067063565e-06,0.00674169542116505
